lockfile,package,version,decision,reason,parents,advisory_ids,advisory_action
Cargo.lock,async-stream,0.3.6,Keep through owner,Lockfile dependency; evaluate through listed parents. Optional/target entries are not proof of production inclusion.,sea-orm@1.1.20,,No OSV match on audit date; not a safety guarantee
Cargo.lock,async-stream-impl,0.3.6,Keep through owner,Lockfile dependency; evaluate through listed parents. Optional/target entries are not proof of production inclusion.,async-stream@0.3.6,,No OSV match on audit date; not a safety guarantee
Cargo.lock,async-trait,0.1.89,Keep,"MultipartStore is used through Arc<dyn MultipartStore>. Native async trait syntax is not a drop-in replacement for this dynamic dispatch. Small macro dependency, already shared transitively.",scope-git-storage@0.1.0; sea-orm-migration@1.1.20; sea-orm@1.1.20,,No OSV match on audit date; not a safety guarantee
Cargo.lock,atoi,2.0.0,Keep through owner,Lockfile dependency; evaluate through listed parents. Optional/target entries are not proof of production inclusion.,sqlx-mysql@0.8.6; sqlx-postgres@0.8.6; sqlx-sqlite@0.8.6,,No OSV match on audit date; not a safety guarantee
Cargo.lock,atomic-waker,1.1.2,Keep through owner,Lockfile dependency; evaluate through listed parents. Optional/target entries are not proof of production inclusion.,h2@0.4.19; hyper@1.10.1,,No OSV match on audit date; not a safety guarantee
Cargo.lock,autocfg,1.5.1,Keep through owner,Lockfile dependency; evaluate through listed parents. Optional/target entries are not proof of production inclusion.,bigdecimal@0.4.10; memoffset@0.9.1; num-iter@0.1.45; num-traits@0.2.19,,No OSV match on audit date; not a safety guarantee
Cargo.lock,aws-config,1.11.0,Keep,Owns AWS credential discovery for worker Lambda calls. Existing defaults already disable SSO and credential-process. Update with the AWS family after transport cleanup; do not write credential refresh yourself.,worker@0.1.0,,No OSV match on audit date; not a safety guarantee
Cargo.lock,aws-credential-types,1.3.0,Keep,Required by the existing SigV4 and SDK integrations. Replacing a credentials struct would not remove its transitive copy.,aws-config@1.11.0; aws-runtime@1.9.1; aws-sdk-lambda@1.142.0; aws-sdk-s3@1.144.0; aws-sdk-sts@1.113.0; aws-sigv4@1.5.1; aws-types@1.5.0; scope-object-store@0.1.0,,No OSV match on audit date; not a safety guarantee
Cargo.lock,aws-lc-rs,1.18.0,Keep through owner,Lockfile dependency; evaluate through listed parents. Optional/target entries are not proof of production inclusion.,quinn-proto@0.11.15; rustls-webpki@0.103.13; rustls@0.23.41,,No OSV match on audit date; not a safety guarantee
Cargo.lock,aws-lc-sys,0.44.0,Keep through owner,Lockfile dependency; evaluate through listed parents. Optional/target entries are not proof of production inclusion.,aws-lc-rs@1.18.0,,No OSV match on audit date; not a safety guarantee
Cargo.lock,aws-runtime,1.9.1,Keep through owner,Lockfile dependency; evaluate through listed parents. Optional/target entries are not proof of production inclusion.,aws-config@1.11.0; aws-sdk-lambda@1.142.0; aws-sdk-s3@1.144.0; aws-sdk-sts@1.113.0,,No OSV match on audit date; not a safety guarantee
Cargo.lock,aws-sdk-lambda,1.142.0,Keep,"Used for the dispatch broker. Disable defaults and select default-https-client plus rt-tokio to remove its legacy TLS connector. Keep credential, signing, error and retry behavior in the SDK.",worker@0.1.0,,No OSV match on audit date; not a safety guarantee
Cargo.lock,aws-sdk-s3,1.144.0,Keep,"Handles durable multipart storage, streaming reads, completion and abort. Remove its legacy rustls feature while retaining default-https-client. Rewriting this protocol is a poor first dependency reduction.",scope-git-storage@0.1.0,,No OSV match on audit date; not a safety guarantee
Cargo.lock,aws-sdk-sts,1.113.0,Keep through owner,Lockfile dependency; evaluate through listed parents. Optional/target entries are not proof of production inclusion.,aws-config@1.11.0,,No OSV match on audit date; not a safety guarantee
Cargo.lock,aws-sigv4,1.5.1,Keep,Signing and presigning for the small-object store. Signing correctness is not a good target for custom code. Coordinate updates with AWS credential and HTTP crates.,aws-runtime@1.9.1; aws-sdk-s3@1.144.0; scope-object-store@0.1.0,,No OSV match on audit date; not a safety guarantee
Cargo.lock,aws-smithy-async,1.3.0,Keep through owner,Lockfile dependency; evaluate through listed parents. Optional/target entries are not proof of production inclusion.,aws-config@1.11.0; aws-credential-types@1.3.0; aws-runtime@1.9.1; aws-sdk-lambda@1.142.0; aws-sdk-s3@1.144.0; aws-sdk-sts@1.113.0; aws-smithy-http-client@1.4.0; aws-smithy-runtime-api@1.15.0; aws-smithy-runtime@1.14.0; aws-types@1.5.0,,No OSV match on audit date; not a safety guarantee
Cargo.lock,aws-smithy-checksums,0.65.0,Keep through owner,Lockfile dependency; evaluate through listed parents. Optional/target entries are not proof of production inclusion.,aws-sdk-s3@1.144.0,,No OSV match on audit date; not a safety guarantee
Cargo.lock,aws-smithy-eventstream,0.61.2,Keep through owner,Lockfile dependency; evaluate through listed parents. Optional/target entries are not proof of production inclusion.,aws-runtime@1.9.1; aws-sdk-lambda@1.142.0; aws-sdk-s3@1.144.0; aws-sigv4@1.5.1; aws-smithy-http@0.64.0,,No OSV match on audit date; not a safety guarantee
Cargo.lock,aws-smithy-http,0.64.0,Keep,Direct use is S3 label/path encoding. A local encoder could remove the declaration but aws-sigv4 and SDKs still require the crate. No meaningful dependency saving today.,aws-config@1.11.0; aws-runtime@1.9.1; aws-sdk-lambda@1.142.0; aws-sdk-s3@1.144.0; aws-sdk-sts@1.113.0; aws-sigv4@1.5.1; aws-smithy-checksums@0.65.0; aws-smithy-runtime@1.14.0; scope-object-store@0.1.0,,No OSV match on audit date; not a safety guarantee
Cargo.lock,aws-smithy-http-client,1.4.0,Keep through owner,Lockfile dependency; evaluate through listed parents. Optional/target entries are not proof of production inclusion.,aws-smithy-runtime@1.14.0,,No OSV match on audit date; not a safety guarantee
Cargo.lock,aws-smithy-json,0.63.0,Keep through owner,Lockfile dependency; evaluate through listed parents. Optional/target entries are not proof of production inclusion.,aws-config@1.11.0; aws-sdk-lambda@1.142.0; aws-sdk-s3@1.144.0; aws-sdk-sts@1.113.0,,No OSV match on audit date; not a safety guarantee
Cargo.lock,aws-smithy-observability,0.3.0,Keep through owner,Lockfile dependency; evaluate through listed parents. Optional/target entries are not proof of production inclusion.,aws-sdk-lambda@1.142.0; aws-sdk-s3@1.144.0; aws-sdk-sts@1.113.0; aws-smithy-runtime@1.14.0,,No OSV match on audit date; not a safety guarantee
Cargo.lock,aws-smithy-query,0.62.0,Keep through owner,Lockfile dependency; evaluate through listed parents. Optional/target entries are not proof of production inclusion.,aws-sdk-sts@1.113.0,,No OSV match on audit date; not a safety guarantee
Cargo.lock,aws-smithy-runtime,1.14.0,Keep through owner,Lockfile dependency; evaluate through listed parents. Optional/target entries are not proof of production inclusion.,aws-config@1.11.0; aws-runtime@1.9.1; aws-sdk-lambda@1.142.0; aws-sdk-s3@1.144.0; aws-sdk-sts@1.113.0,,No OSV match on audit date; not a safety guarantee
Cargo.lock,aws-smithy-runtime-api,1.15.0,Keep through owner,Lockfile dependency; evaluate through listed parents. Optional/target entries are not proof of production inclusion.,aws-config@1.11.0; aws-credential-types@1.3.0; aws-runtime@1.9.1; aws-sdk-lambda@1.142.0; aws-sdk-s3@1.144.0; aws-sdk-sts@1.113.0; aws-sigv4@1.5.1; aws-smithy-http-client@1.4.0; aws-smithy-http@0.64.0; aws-smithy-json@0.63.0; aws-smithy-observability@0.3.0; aws-smithy-query@0.62.0; aws-smithy-runtime@1.14.0; aws-smithy-schema@0.2.0; aws-smithy-xml@0.62.0; aws-types@1.5.0,,No OSV match on audit date; not a safety guarantee
Cargo.lock,aws-smithy-runtime-api-macros,1.1.0,Keep through owner,Lockfile dependency; evaluate through listed parents. Optional/target entries are not proof of production inclusion.,aws-smithy-runtime-api@1.15.0,,No OSV match on audit date; not a safety guarantee
Cargo.lock,aws-smithy-schema,0.2.0,Keep through owner,Lockfile dependency; evaluate through listed parents. Optional/target entries are not proof of production inclusion.,aws-config@1.11.0; aws-sdk-lambda@1.142.0; aws-sdk-s3@1.144.0; aws-sdk-sts@1.113.0; aws-smithy-json@0.63.0; aws-smithy-query@0.62.0; aws-smithy-runtime@1.14.0; aws-smithy-xml@0.62.0; aws-types@1.5.0,,No OSV match on audit date; not a safety guarantee
Cargo.lock,aws-smithy-types,1.6.2,Keep through owner,Lockfile dependency; evaluate through listed parents. Optional/target entries are not proof of production inclusion.,aws-config@1.11.0; aws-credential-types@1.3.0; aws-runtime@1.9.1; aws-sdk-lambda@1.142.0; aws-sdk-s3@1.144.0; aws-sdk-sts@1.113.0; aws-sigv4@1.5.1; aws-smithy-checksums@0.65.0; aws-smithy-eventstream@0.61.2; aws-smithy-http-client@1.4.0; aws-smithy-http@0.64.0; aws-smithy-json@0.63.0; aws-smithy-query@0.62.0; aws-smithy-runtime-api@1.15.0; aws-smithy-runtime@1.14.0; aws-smithy-schema@0.2.0; aws-smithy-xml@0.62.0; aws-types@1.5.0,,No OSV match on audit date; not a safety guarantee
Cargo.lock,aws-smithy-xml,0.62.0,Keep through owner,Lockfile dependency; evaluate through listed parents. Optional/target entries are not proof of production inclusion.,aws-sdk-s3@1.144.0; aws-sdk-sts@1.113.0; aws-smithy-query@0.62.0,,No OSV match on audit date; not a safety guarantee
Cargo.lock,aws-types,1.5.0,Keep through owner,Lockfile dependency; evaluate through listed parents. Optional/target entries are not proof of production inclusion.,aws-config@1.11.0; aws-runtime@1.9.1; aws-sdk-lambda@1.142.0; aws-sdk-s3@1.144.0; aws-sdk-sts@1.113.0,,No OSV match on audit date; not a safety guarantee
Cargo.lock,axum,0.8.9,Keep,"Shared HTTP routing, extraction and response layer for services and CLI callback server. Existing version is current. Rewriting would move framework work into product code.",api@0.1.0; scope-cache-service@0.1.0; scope-media-service@0.1.0; scope-media-worker@0.1.0; scope-repo-router@0.1.0; scope-service-runtime@0.1.0; worker@0.1.0,,No OSV match on audit date; not a safety guarantee
Cargo.lock,axum-core,0.5.6,Keep through owner,Lockfile dependency; evaluate through listed parents. Optional/target entries are not proof of production inclusion.,axum@0.8.9,,No OSV match on audit date; not a safety guarantee
Cargo.lock,base16ct,0.2.0,Keep through owner,Lockfile dependency; evaluate through listed parents. Optional/target entries are not proof of production inclusion.,elliptic-curve@0.13.8; sec1@0.7.3,,No OSV match on audit date; not a safety guarantee
Cargo.lock,base64,0.22.1,Keep,Standard encoding used by storage and grants. Tiny compared with its caller graph. Stay on 0.22 until a deliberate 0.23 migration; no reason to maintain a codec.,api@0.1.0; hyper-util@0.1.20; jsonwebtoken@10.4.0; pem@3.0.6; reqwest@0.12.28; reqwest@0.13.4; scope-cache-service@0.1.0; scope-media-storage@0.1.0; scope-object-store@0.1.0; sqlx-core@0.8.6; sqlx-mysql@0.8.6; sqlx-postgres@0.8.6,,No OSV match on audit date; not a safety guarantee
Cargo.lock,base64-simd,0.8.0,Keep through owner,Lockfile dependency; evaluate through listed parents. Optional/target entries are not proof of production inclusion.,aws-smithy-types@1.6.2,,No OSV match on audit date; not a safety guarantee
Cargo.lock,base64ct,1.8.3,Keep through owner,Lockfile dependency; evaluate through listed parents. Optional/target entries are not proof of production inclusion.,pem-rfc7468@0.7.0; spki@0.7.3,,No OSV match on audit date; not a safety guarantee
Cargo.lock,bigdecimal,0.4.10,Keep through owner,Lockfile dependency; evaluate through listed parents. Optional/target entries are not proof of production inclusion.,sea-orm@1.1.20,,No OSV match on audit date; not a safety guarantee
Cargo.lock,bitflags,2.13.0,Keep through owner,Lockfile dependency; evaluate through listed parents. Optional/target entries are not proof of production inclusion.,dispatch2@0.3.1; libredox@0.1.17; nix@0.29.0; nix@0.31.3; objc2-cloud-kit@0.3.2; objc2-core-foundation@0.3.2; objc2-core-graphics@0.3.2; objc2-core-text@0.3.2; objc2-foundation@0.3.2; objc2-io-surface@0.3.2; objc2-quartz-core@0.3.2; objc2-ui-kit@0.3.2; pulldown-cmark@0.13.4; redox_syscall@0.5.18; redox_syscall@0.8.1; rustix@1.1.4; security-framework@3.7.0; sqlx-mysql@0.8.6; sqlx-postgres@0.8.6; tower-http@0.6.11,,No OSV match on audit date; not a safety guarantee
Cargo.lock,block-buffer,0.10.4,Keep through owner,Lockfile dependency; evaluate through listed parents. Optional/target entries are not proof of production inclusion.,digest@0.10.7,,No OSV match on audit date; not a safety guarantee
Cargo.lock,block-buffer,0.12.1,Keep through owner,Lockfile dependency; evaluate through listed parents. Optional/target entries are not proof of production inclusion.,digest@0.11.3,,No OSV match on audit date; not a safety guarantee
Cargo.lock,block2,0.6.2,Keep through owner,Lockfile dependency; evaluate through listed parents. Optional/target entries are not proof of production inclusion.,objc2-foundation@0.3.2; objc2-ui-kit@0.3.2,,No OSV match on audit date; not a safety guarantee
Cargo.lock,bumpalo,3.20.3,Keep through owner,Lockfile dependency; evaluate through listed parents. Optional/target entries are not proof of production inclusion.,wasm-bindgen-macro-support@0.2.126,,No OSV match on audit date; not a safety guarantee
Cargo.lock,byteorder,1.5.0,Keep through owner,Lockfile dependency; evaluate through listed parents. Optional/target entries are not proof of production inclusion.,sqlx-mysql@0.8.6; sqlx-postgres@0.8.6,,No OSV match on audit date; not a safety guarantee
Cargo.lock,bytes,1.12.0,Keep,Shared buffers for HTTP and bounded storage streams. Update patch normally. Matches Tokio/Axum/AWS types and remains transitive regardless.,aws-config@1.11.0; aws-runtime@1.9.1; aws-sdk-lambda@1.142.0; aws-sdk-s3@1.144.0; aws-sigv4@1.5.1; aws-smithy-checksums@0.65.0; aws-smithy-eventstream@0.61.2; aws-smithy-http@0.64.0; aws-smithy-runtime-api@1.15.0; aws-smithy-runtime@1.14.0; aws-smithy-types@1.6.2; axum-core@0.5.6; axum@0.8.9; bytes-utils@0.1.4; combine@4.6.7; h2@0.3.27; h2@0.4.19; http-body-util@0.1.3; http-body@0.4.6; http-body@1.0.1; http@0.2.12; http@1.4.2; hyper-util@0.1.20; hyper@0.14.32; hyper@1.10.1; quinn-proto@0.11.15; quinn@0.11.11; reqwest@0.12.28; reqwest@0.13.4; scope-git-storage@0.1.0; scope-media-service@0.1.0; scope-media-storage@0.1.0; sqlx-core@0.8.6; sqlx-mysql@0.8.6; tokio-util@0.7.18; tokio@1.52.3; tower-http@0.6.11,,No OSV match on audit date; not a safety guarantee
Cargo.lock,bytes-utils,0.1.4,Keep through owner,Lockfile dependency; evaluate through listed parents. Optional/target entries are not proof of production inclusion.,aws-runtime@1.9.1; aws-smithy-http@0.64.0; aws-smithy-types@1.6.2,,No OSV match on audit date; not a safety guarantee
Cargo.lock,cc,1.2.65,Keep through owner,Lockfile dependency; evaluate through listed parents. Optional/target entries are not proof of production inclusion.,aws-lc-sys@0.44.0; cmake@0.1.58; iana-time-zone-haiku@0.1.2; ring@0.17.14; zstd-sys@2.0.16+zstd.1.5.7,,No OSV match on audit date; not a safety guarantee
Cargo.lock,cfg-if,1.0.4,Keep through owner,Lockfile dependency; evaluate through listed parents. Optional/target entries are not proof of production inclusion.,chacha20@0.9.1; crc32fast@1.5.0; curve25519-dalek@4.1.3; etcetera@0.8.0; filetime@0.2.29; getrandom@0.2.17; getrandom@0.3.4; getrandom@0.4.3; jni@0.22.4; js-sys@0.3.103; md-5@0.10.6; md-5@0.11.0; nix@0.29.0; nix@0.31.3; parking_lot_core@0.9.12; ring@0.17.14; sha1@0.10.6; sha1@0.11.0; sha2@0.10.9; sha2@0.11.0; thread_local@1.1.9; wasm-bindgen@0.2.126,,No OSV match on audit date; not a safety guarantee
Cargo.lock,cfg_aliases,0.2.1,Keep through owner,Lockfile dependency; evaluate through listed parents. Optional/target entries are not proof of production inclusion.,nix@0.29.0; nix@0.31.3; quinn-udp@0.5.14; quinn@0.11.11,,No OSV match on audit date; not a safety guarantee
Cargo.lock,chacha20,0.9.1,Keep through owner,Lockfile dependency; evaluate through listed parents. Optional/target entries are not proof of production inclusion.,chacha20poly1305@0.10.1,,No OSV match on audit date; not a safety guarantee
Cargo.lock,chacha20poly1305,0.10.1,Keep,"Encrypts persisted object and segment data. Keep a maintained implementation; evaluate 0.11 with RustCrypto upgrades and existing ciphertext fixtures, including Python recovery.",api@0.1.0; scope-git-storage@0.1.0; scope-object-store@0.1.0,,No OSV match on audit date; not a safety guarantee
Cargo.lock,chrono,0.4.45,Keep through owner,Lockfile dependency; evaluate through listed parents. Optional/target entries are not proof of production inclusion.,posthog-rs@0.24.0; sea-orm-cli@1.1.20; sea-orm@1.1.20; sea-query-binder@0.7.0; sea-query@0.32.7; sqlx-core@0.8.6; sqlx-mysql@0.8.6; sqlx-postgres@0.8.6; sqlx-sqlite@0.8.6,,No OSV match on audit date; not a safety guarantee
Cargo.lock,cipher,0.4.4,Keep through owner,Lockfile dependency; evaluate through listed parents. Optional/target entries are not proof of production inclusion.,chacha20@0.9.1; chacha20poly1305@0.10.1,,No OSV match on audit date; not a safety guarantee
Cargo.lock,cmake,0.1.58,Keep through owner,Lockfile dependency; evaluate through listed parents. Optional/target entries are not proof of production inclusion.,aws-lc-sys@0.44.0,,No OSV match on audit date; not a safety guarantee
Cargo.lock,cmov,0.5.4,Keep through owner,Lockfile dependency; evaluate through listed parents. Optional/target entries are not proof of production inclusion.,ctutils@0.4.2,,No OSV match on audit date; not a safety guarantee
Cargo.lock,combine,4.6.7,Keep through owner,Lockfile dependency; evaluate through listed parents. Optional/target entries are not proof of production inclusion.,jni@0.22.4,,No OSV match on audit date; not a safety guarantee
Cargo.lock,compression-codecs,0.4.38,Keep through owner,Lockfile dependency; evaluate through listed parents. Optional/target entries are not proof of production inclusion.,async-compression@0.4.43,,No OSV match on audit date; not a safety guarantee
Cargo.lock,compression-core,0.4.32,Keep through owner,Lockfile dependency; evaluate through listed parents. Optional/target entries are not proof of production inclusion.,async-compression@0.4.43; compression-codecs@0.4.38,,No OSV match on audit date; not a safety guarantee
Cargo.lock,concurrent-queue,2.5.0,Keep through owner,Lockfile dependency; evaluate through listed parents. Optional/target entries are not proof of production inclusion.,event-listener@5.4.1,,No OSV match on audit date; not a safety guarantee
Cargo.lock,const-oid,0.9.6,Keep through owner,Lockfile dependency; evaluate through listed parents. Optional/target entries are not proof of production inclusion.,der@0.7.10; digest@0.10.7; rsa@0.9.10,,No OSV match on audit date; not a safety guarantee
Cargo.lock,const-oid,0.10.2,Keep through owner,Lockfile dependency; evaluate through listed parents. Optional/target entries are not proof of production inclusion.,digest@0.11.3,,No OSV match on audit date; not a safety guarantee
Cargo.lock,core-foundation,0.10.1,Keep through owner,Lockfile dependency; evaluate through listed parents. Optional/target entries are not proof of production inclusion.,rustls-platform-verifier@0.7.0; security-framework@3.7.0,,No OSV match on audit date; not a safety guarantee
Cargo.lock,core-foundation-sys,0.8.7,Keep through owner,Lockfile dependency; evaluate through listed parents. Optional/target entries are not proof of production inclusion.,core-foundation@0.10.1; iana-time-zone@0.1.65; rustls-platform-verifier@0.7.0; security-framework-sys@2.17.0; security-framework@3.7.0,,No OSV match on audit date; not a safety guarantee
Cargo.lock,cpufeatures,0.2.17,Keep through owner,Lockfile dependency; evaluate through listed parents. Optional/target entries are not proof of production inclusion.,chacha20@0.9.1; curve25519-dalek@4.1.3; poly1305@0.8.0; sha1@0.10.6; sha2@0.10.9,,No OSV match on audit date; not a safety guarantee
Cargo.lock,cpufeatures,0.3.0,Keep through owner,Lockfile dependency; evaluate through listed parents. Optional/target entries are not proof of production inclusion.,sha1@0.11.0; sha2@0.11.0,,No OSV match on audit date; not a safety guarantee
Cargo.lock,crc,3.4.0,Keep through owner,Lockfile dependency; evaluate through listed parents. Optional/target entries are not proof of production inclusion.,sqlx-core@0.8.6; sqlx-mysql@0.8.6; sqlx-postgres@0.8.6,,No OSV match on audit date; not a safety guarantee
Cargo.lock,crc-catalog,2.5.0,Keep through owner,Lockfile dependency; evaluate through listed parents. Optional/target entries are not proof of production inclusion.,crc@3.4.0,,No OSV match on audit date; not a safety guarantee
Cargo.lock,crc-fast,1.10.0,Keep through owner,Lockfile dependency; evaluate through listed parents. Optional/target entries are not proof of production inclusion.,aws-smithy-checksums@0.65.0,,No OSV match on audit date; not a safety guarantee
Cargo.lock,crc32fast,1.5.0,Keep through owner,Lockfile dependency; evaluate through listed parents. Optional/target entries are not proof of production inclusion.,aws-smithy-eventstream@0.61.2; flate2@1.1.9,,No OSV match on audit date; not a safety guarantee
Cargo.lock,crossbeam-queue,0.3.12,Keep through owner,Lockfile dependency; evaluate through listed parents. Optional/target entries are not proof of production inclusion.,sqlx-core@0.8.6,,No OSV match on audit date; not a safety guarantee
Cargo.lock,crossbeam-utils,0.8.21,Keep through owner,Lockfile dependency; evaluate through listed parents. Optional/target entries are not proof of production inclusion.,concurrent-queue@2.5.0; crossbeam-queue@0.3.12,,No OSV match on audit date; not a safety guarantee
Cargo.lock,crypto-bigint,0.5.5,Keep through owner,Lockfile dependency; evaluate through listed parents. Optional/target entries are not proof of production inclusion.,elliptic-curve@0.13.8,,No OSV match on audit date; not a safety guarantee
Cargo.lock,crypto-common,0.1.7,Keep through owner,Lockfile dependency; evaluate through listed parents. Optional/target entries are not proof of production inclusion.,aead@0.5.2; cipher@0.4.4; digest@0.10.7; universal-hash@0.5.1,,No OSV match on audit date; not a safety guarantee
Cargo.lock,crypto-common,0.2.2,Keep through owner,Lockfile dependency; evaluate through listed parents. Optional/target entries are not proof of production inclusion.,digest@0.11.3,,No OSV match on audit date; not a safety guarantee
Cargo.lock,ctutils,0.4.2,Keep through owner,Lockfile dependency; evaluate through listed parents. Optional/target entries are not proof of production inclusion.,digest@0.11.3,,No OSV match on audit date; not a safety guarantee
Cargo.lock,curve25519-dalek,4.1.3,Keep through owner,Lockfile dependency; evaluate through listed parents. Optional/target entries are not proof of production inclusion.,ed25519-dalek@2.2.0,,No OSV match on audit date; not a safety guarantee
Cargo.lock,curve25519-dalek-derive,0.1.1,Keep through owner,Lockfile dependency; evaluate through listed parents. Optional/target entries are not proof of production inclusion.,curve25519-dalek@4.1.3,,No OSV match on audit date; not a safety guarantee
Cargo.lock,darling,0.20.11,Keep through owner,Lockfile dependency; evaluate through listed parents. Optional/target entries are not proof of production inclusion.,derive_builder_core@0.20.2; sea-query-derive@0.4.3,,No OSV match on audit date; not a safety guarantee
Cargo.lock,darling_core,0.20.11,Keep through owner,Lockfile dependency; evaluate through listed parents. Optional/target entries are not proof of production inclusion.,darling@0.20.11; darling_macro@0.20.11,,No OSV match on audit date; not a safety guarantee
Cargo.lock,darling_macro,0.20.11,Keep through owner,Lockfile dependency; evaluate through listed parents. Optional/target entries are not proof of production inclusion.,darling@0.20.11,,No OSV match on audit date; not a safety guarantee
Cargo.lock,der,0.7.10,Keep through owner,Lockfile dependency; evaluate through listed parents. Optional/target entries are not proof of production inclusion.,ecdsa@0.16.9; pkcs1@0.7.5; pkcs8@0.10.2; sec1@0.7.3; spki@0.7.3,,No OSV match on audit date; not a safety guarantee
Cargo.lock,deranged,0.5.8,Keep through owner,Lockfile dependency; evaluate through listed parents. Optional/target entries are not proof of production inclusion.,time@0.3.52,,No OSV match on audit date; not a safety guarantee
Cargo.lock,derive_builder,0.20.2,Keep through owner,Lockfile dependency; evaluate through listed parents. Optional/target entries are not proof of production inclusion.,posthog-rs@0.24.0,,No OSV match on audit date; not a safety guarantee
Cargo.lock,derive_builder_core,0.20.2,Keep through owner,Lockfile dependency; evaluate through listed parents. Optional/target entries are not proof of production inclusion.,derive_builder_macro@0.20.2,,No OSV match on audit date; not a safety guarantee
Cargo.lock,derive_builder_macro,0.20.2,Keep through owner,Lockfile dependency; evaluate through listed parents. Optional/target entries are not proof of production inclusion.,derive_builder@0.20.2,,No OSV match on audit date; not a safety guarantee
Cargo.lock,derive_more,2.1.1,Keep through owner,Lockfile dependency; evaluate through listed parents. Optional/target entries are not proof of production inclusion.,sea-orm@1.1.20,,No OSV match on audit date; not a safety guarantee
Cargo.lock,derive_more-impl,2.1.1,Keep through owner,Lockfile dependency; evaluate through listed parents. Optional/target entries are not proof of production inclusion.,derive_more@2.1.1,,No OSV match on audit date; not a safety guarantee
Cargo.lock,digest,0.10.7,Keep through owner,Lockfile dependency; evaluate through listed parents. Optional/target entries are not proof of production inclusion.,crc-fast@1.10.0; curve25519-dalek@4.1.3; ecdsa@0.16.9; elliptic-curve@0.13.8; hmac@0.12.1; md-5@0.10.6; rsa@0.9.10; sha1@0.10.6; sha2@0.10.9; signature@2.2.0; sqlx-mysql@0.8.6,,No OSV match on audit date; not a safety guarantee
Cargo.lock,digest,0.11.3,Keep through owner,Lockfile dependency; evaluate through listed parents. Optional/target entries are not proof of production inclusion.,hmac@0.13.0; md-5@0.11.0; sha1@0.11.0; sha2@0.11.0,,No OSV match on audit date; not a safety guarantee
Cargo.lock,dispatch2,0.3.1,Keep through owner,Lockfile dependency; evaluate through listed parents. Optional/target entries are not proof of production inclusion.,objc2-core-foundation@0.3.2; objc2-core-graphics@0.3.2,,No OSV match on audit date; not a safety guarantee
Cargo.lock,displaydoc,0.2.6,Keep through owner,Lockfile dependency; evaluate through listed parents. Optional/target entries are not proof of production inclusion.,icu_collections@2.2.0; icu_locale_core@2.2.0; icu_provider@2.2.0; tinystr@0.8.3; zerotrie@0.2.4,,No OSV match on audit date; not a safety guarantee
Cargo.lock,dotenvy,0.15.7,Keep through owner,Lockfile dependency; evaluate through listed parents. Optional/target entries are not proof of production inclusion.,sqlx-macros-core@0.8.6; sqlx-mysql@0.8.6; sqlx-postgres@0.8.6,,No OSV match on audit date; not a safety guarantee
