ecosystem,package,declared,locked,observed_latest,decision,reason,manifests,evidence,source
rust,base64,0.22.1,0.22.1,0.23.1,Keep,Standard encoding used by storage and grants. Tiny compared with its caller graph. Stay on 0.22 until a deliberate 0.23 migration; no reason to maintain a codec.,api/Cargo.toml; cache-service/Cargo.toml; crates/scope-media-storage/Cargo.toml; crates/scope-object-store/Cargo.toml,api/src/git/credentials.rs:10; api/src/http/history.rs:20; api/src/http/request_queue.rs:13; api/src/push_intents.rs:2; api/src/workflow_tests/mod.rs:25; cache-service/src/handlers.rs:299; crates/scope-media-storage/src/config.rs:76; crates/scope-object-store/src/config.rs:3; crates/scope-object-store/src/s3.rs:12,https://crates.io/api/v1/crates/base64
rust,bytes,1.11.0,1.12.0,1.12.1,Keep,Shared buffers for HTTP and bounded storage streams. Update patch normally. Matches Tokio/Axum/AWS types and remains transitive regardless.,crates/scope-git-storage/Cargo.toml; crates/scope-media-storage/Cargo.toml; media-service/Cargo.toml,crates/scope-git-storage/src/cache.rs:416; crates/scope-git-storage/src/envelope.rs:38; crates/scope-git-storage/src/error.rs:9; crates/scope-git-storage/src/file.rs:6; crates/scope-git-storage/src/ingest.rs:8; crates/scope-git-storage/src/lib.rs:67; crates/scope-git-storage/src/lifecycle.rs:31; crates/scope-git-storage/src/memory.rs:3; crates/scope-git-storage/src/multipart.rs:11; crates/scope-git-storage/src/restore.rs:102; crates/scope-git-storage/src/tests.rs:3; crates/scope-git-storage/src/tests/ingest_control.rs:100,https://crates.io/api/v1/crates/bytes
rust,chacha20poly1305,0.10.1,0.10.1,0.11.0,Keep,"Encrypts persisted object and segment data. Keep a maintained implementation; evaluate 0.11 with RustCrypto upgrades and existing ciphertext fixtures, including Python recovery.",api/Cargo.toml; crates/scope-git-storage/Cargo.toml; crates/scope-object-store/Cargo.toml,api/src/http/request_queue.rs:14; crates/scope-git-storage/src/envelope.rs:2; crates/scope-object-store/src/encrypted.rs:3,https://crates.io/api/v1/crates/chacha20poly1305
rust,clap,4.6.0,4.6.1,4.6.7,Keep,"CLI command parsing, help and validation. Update patch with clap_complete. Reimplementing this mature interface would save little and increase maintenance.",cli/Cargo.toml,cli/src/bin/scope.rs:1; cli/src/request/args.rs:1; cli/src/run.rs:10; cli/src/visibility.rs:14,https://crates.io/api/v1/crates/clap
rust,clap_complete,4.6.0,4.6.9,4.6.11,Keep,Shell completion follows the Clap command model. Keep versions coordinated; hand-maintained completion scripts would duplicate the command schema.,cli/Cargo.toml,cli/src/bin/scope.rs:71,https://crates.io/api/v1/crates/clap_complete
rust,crossterm,0.29.0,0.29.0,0.29.0,Keep,"Terminal events, raw mode and cross-platform console handling. Shared with Ratatui. Keep the explicitly selected crossterm_0_29 backend.",cli/Cargo.toml,cli/src/progress.rs:283; cli/src/review/tui.rs:10; cli/src/review/tui_tests.rs:6,https://crates.io/api/v1/crates/crossterm
rust,ctrlc,3.4,3.5.2,3.5.2,Keep,Installs progress cancellation handling. Replacing it with Tokio signals would add async coordination to synchronous paths. Revisit only if that architecture changes.,cli/Cargo.toml,cli/src/progress.rs:264,https://crates.io/api/v1/crates/ctrlc
rust,filetime,0.2.27,0.2.29,0.2.29,Keep,Restores cache symlink timestamps. std::fs file-time APIs are not a complete substitute for set_symlink_file_times. Current version is current.,runner-runtime/Cargo.toml,runner-runtime/src/cache/files.rs:65,https://crates.io/api/v1/crates/filetime
rust,flate2,1.1,1.1.9,1.1.10,Keep,Reads gzip Git HTTP requests. Keep decompression limits in Scope and the codec upstream. Routine patch update to 1.1.10.,api/Cargo.toml,api/src/git/mod.rs:41; api/src/workflow_tests/git_http_gzip.rs:4,https://crates.io/api/v1/crates/flate2
rust,futures-util,0.3.32,0.3.32,0.3.34,Keep,"Stream/future adapters in API and cache service, already default-features=false. Update patch; removing its direct declaration would not remove its framework consumers.",api/Cargo.toml; cache-service/Cargo.toml,api/src/git/cache/coordinator.rs:2; api/src/git/http_backend.rs:5; api/src/git/restore.rs:8; api/src/git/run_source.rs:64; api/src/git/run_source/tests.rs:123; api/src/http/repo_events.rs:13; cache-service/src/gc.rs:2,https://crates.io/api/v1/crates/futures-util
rust,getrandom,0.3.4,0.3.4,0.4.3,Keep,"Operating-system randomness for IDs, nonces and credentials. Consider 0.4 with a full target-matrix check. Older copies remain through unrelated crypto crates, so do not claim complete deduplication.",api/Cargo.toml; cache-service/Cargo.toml; cli/Cargo.toml; crates/scope-git-storage/Cargo.toml; crates/scope-media-storage/Cargo.toml; crates/scope-object-store/Cargo.toml; media-service/Cargo.toml; media-worker/Cargo.toml; worker/Cargo.toml,api/src/auth/cli.rs:331; api/src/auth/tokens.rs:76; api/src/error.rs:276; api/src/git/import/repo_io.rs:552; api/src/git/storage.rs:17; api/src/http/request_queue.rs:265; api/src/persistence_ids.rs:5; api/src/telemetry.rs:17; cache-service/src/handlers.rs:245; cli/src/request/attachments/journal.rs:211; cli/src/run/source.rs:57; crates/scope-git-storage/src/envelope.rs:69,https://crates.io/api/v1/crates/getrandom
rust,hex,0.4.3,0.4.3,0.4.3,Keep,"Used across domain, Git IDs and storage. A homegrown encoder is possible but provides negligible value and leaves transitive hex consumers.",api/Cargo.toml; cache-service/Cargo.toml; cli/Cargo.toml; crates/scope-domain/Cargo.toml; crates/scope-git-storage/Cargo.toml; crates/scope-git/Cargo.toml; crates/scope-media-storage/Cargo.toml; crates/scope-object-store/Cargo.toml; crates/scope-postgres/Cargo.toml; media-service/Cargo.toml; media-worker/Cargo.toml; runner-runtime/Cargo.toml; worker/Cargo.toml,api/src/auth/cli.rs:334; api/src/auth/tokens.rs:78; api/src/dev/seed/runs/choreography.rs:251; api/src/error.rs:280; api/src/git/import/repo_io.rs:555; api/src/git/projection_repo.rs:544; api/src/git/projection_repo/tests.rs:402; api/src/git/request_refs.rs:176; api/src/git/request_refs/locks.rs:95; api/src/git/request_refs/revision.rs:100; api/src/git/restore.rs:260; api/src/git/run_source.rs:91,https://crates.io/api/v1/crates/hex
rust,hmac,0.12.1,0.12.1,0.13.0,Keep,Authenticates grants/derivations. Upgrade with sha2 and digest as a coordinated RustCrypto change. Do not implement the primitive yourself.,api/Cargo.toml; crates/scope-git-storage/Cargo.toml,api/src/http/dispatch_authorization.rs:8; api/src/push_intents.rs:3; crates/scope-git-storage/src/envelope.rs:6,https://crates.io/api/v1/crates/hmac
rust,http,1.4.0; 1.4.2,1.4.2,1.5.0,Keep,HTTP request types used by API and signing. Align API declaration with workspace and update to 1.5.0. Removing a declaration will not remove the shared type crate.,api/Cargo.toml; crates/scope-object-store/Cargo.toml,api/src/app.rs:1; api/src/auth/clerk.rs:8; api/src/auth/cli.rs:370; api/src/auth/runtime.rs:7; api/src/auth/scope.rs:11; api/src/cache_grants.rs:25; api/src/config.rs:26; api/src/dev/seed/tests.rs:285; api/src/error.rs:3; api/src/git/command.rs:131; api/src/git/content.rs:110; api/src/git/credentials.rs:9,https://crates.io/api/v1/crates/http
rust,jsonwebtoken,10.4.0,10.4.0,11.1.0,Keep,Clerk JWT verification plus EdDSA cache/media grants. Evaluate 11.1.0 separately with algorithm/JWKS tests. The RSA advisory concerns decryption; observed Scope use is JWT signatures.,api/Cargo.toml; cache-service/Cargo.toml; media-service/Cargo.toml,api/src/auth/clerk.rs:9; api/src/cache_grants.rs:1; api/src/media_grants.rs:1; api/src/workflow_tests/cloud_runs.rs:2; api/src/workflow_tests/mod.rs:26; api/src/workflow_tests/request_attachments.rs:196; cache-service/src/auth.rs:2; cache-service/src/handlers.rs:300; media-service/src/auth.rs:2,https://crates.io/api/v1/crates/jsonwebtoken
rust,keyring-core,1.0.0,1.0.0,1.0.0,Keep,Shared interface for native credential stores. Keep with the platform stores; it is not a duplicate of Scope session policy.,cli/Cargo.toml,cli/src/auth.rs:5,https://crates.io/api/v1/crates/keyring-core
rust,libc,0.2; 0.2.177,0.2.186,0.2.189,Keep,"Unix process groups, termination, filesystem and database process management. These are genuine OS interactions. Do not copy platform ABI declarations.",api/Cargo.toml; cli/Cargo.toml; crates/scope-git-process/Cargo.toml; crates/scope-postgres/Cargo.toml; media-worker/Cargo.toml; runner-runtime/Cargo.toml,cli/src/progress/process.rs:221; cli/tests/push.rs:193; crates/scope-git-process/src/lifecycle.rs:44; crates/scope-git-process/src/lifecycle/reaper_tests.rs:71; crates/scope-git-process/src/tests.rs:22; crates/scope-postgres/src/db/test_support/database_templates.rs:161; media-worker/src/process.rs:143; runner-runtime/src/cache/files.rs:48; runner-runtime/src/execute/output.rs:258; runner-runtime/src/execute/process.rs:37; runner-runtime/src/execute/tests.rs:344,https://crates.io/api/v1/crates/libc
rust,posthog-rs,0.24.0,0.24.0,0.26.0,Rewrite,"Replace only the event transport with a bounded queue and existing Reqwest/Tokio behind ProductAnalyticsSink. Preserve batching, retry limits, privacy and shutdown flush. This is a contained follow-up, not an immediate deletion.",crates/scope-product-analytics/Cargo.toml,crates/scope-product-analytics/src/transport.rs:2,https://crates.io/api/v1/crates/posthog-rs
rust,pulldown-cmark,0.13.0,0.13.4,0.13.4,Keep,Server-side Markdown parsing for domain attachment/reference rules. Use a standards parser rather than regex. The browser Markdown implementation cannot replace a Rust server parser.,crates/scope-domain/Cargo.toml,crates/scope-domain/src/requests/attachments/references.rs:2,https://crates.io/api/v1/crates/pulldown-cmark
rust,ratatui,0.30.2,0.30.2,0.30.2,Keep,"Review TUI layout, rendering and widgets. The selected minimal terminal backend is appropriate. Rewriting terminal rendering is a large maintenance commitment.",cli/Cargo.toml,cli/src/review/tui.rs:15,https://crates.io/api/v1/crates/ratatui
rust,reqwest,0.12.26,0.12.28,0.13.5,Keep,"HTTP, streaming and blocking clients across services and CLI. Move to 0.13.5 in a focused migration; rustls-tls becomes rustls. This can unify the direct client with PostHog while that SDK remains.",api/Cargo.toml; cache-service/Cargo.toml; cli/Cargo.toml; crates/scope-object-store/Cargo.toml; repo-router/Cargo.toml; runner-runtime/Cargo.toml,api/src/auth/clerk.rs:27; api/src/invite_mailer.rs:39; api/src/workflow_tests/cli_auth.rs:37; cache-service/src/gc/tests.rs:93; cache-service/src/handlers.rs:222; cache-service/src/lib.rs:28; cli/src/api.rs:3; cli/src/api/request_attachments.rs:4; cli/src/api/requests.rs:4; cli/src/api/runs.rs:18; cli/src/auth.rs:6; cli/src/bin/scope-cli-service.rs:122,https://crates.io/api/v1/crates/reqwest
rust,schemars,1.2.1,1.2.2,1.2.2,Keep,Generates JSON Schema for runtime contract validation. Optional export feature keeps it out of ordinary production builds. ts-rs generates a different artifact.,api/Cargo.toml; crates/scope-api-contract/Cargo.toml,api/src/http/responses.rs:90; api/src/http/responses/projections.rs:19; api/src/http/responses/repo_collaboration.rs:13; api/src/http/type_exports.rs:2; crates/scope-api-contract/src/attachments.rs:4; crates/scope-api-contract/src/cli_output.rs:6; crates/scope-api-contract/src/dependencies.rs:4; crates/scope-api-contract/src/error.rs:4; crates/scope-api-contract/src/git_oid.rs:10; crates/scope-api-contract/src/projections.rs:15; crates/scope-api-contract/src/repo_config.rs:14; crates/scope-api-contract/src/request_auto_merge.rs:28,https://crates.io/api/v1/crates/schemars
rust,sea-orm,1.1.20,1.1.20,2.0.3,Keep,Extensive entity/query/transaction use. Move mock to dev-only feature activation and remove unused with-chrono after checks. Do not fund a broad SQLx rewrite just to reduce dependency count.,crates/scope-postgres/Cargo.toml,crates/scope-postgres/src/db/auth.rs:10; crates/scope-postgres/src/db/cache_service.rs:11; crates/scope-postgres/src/db/cleanup_queue/claim.rs:15; crates/scope-postgres/src/db/cleanup_queue/completion.rs:17; crates/scope-postgres/src/db/cleanup_queue/queue.rs:10; crates/scope-postgres/src/db/cleanup_queue/request_refs.rs:9; crates/scope-postgres/src/db/cleanup_queue/revalidation.rs:10; crates/scope-postgres/src/db/cleanup_queue_tests.rs:6; crates/scope-postgres/src/db/clerk_users.rs:7; crates/scope-postgres/src/db/cli_auth.rs:16; crates/scope-postgres/src/db/cli_sessions.rs:9; crates/scope-postgres/src/db/connection.rs:5,https://crates.io/api/v1/crates/sea-orm
rust,sea-orm-migration,1.1.20,1.1.20,2.0.3,Keep,"Owns migration execution, with CLI defaults already disabled. Update together with SeaORM/SQLx after testing baseline, locks and recovery. Existing migrations should remain.",crates/scope-postgres/Cargo.toml,crates/scope-postgres/src/db/migration_harness_tests.rs:3; crates/scope-postgres/src/db/migration_tests.rs:7; crates/scope-postgres/src/db/migration_tests/git_manifest_retirement.rs:5; crates/scope-postgres/src/db/migration_tests/run_attempt_active_indexes.rs:4; crates/scope-postgres/src/migrations/baseline.rs:2; crates/scope-postgres/src/migrations/m0043_retire_git_manifests.rs:2; crates/scope-postgres/src/migrations/m0044_request_attention.rs:2; crates/scope-postgres/src/migrations/m0045_dependency_analysis.rs:2; crates/scope-postgres/src/migrations/m0046_drop_attempt_token_expiry.rs:2; crates/scope-postgres/src/migrations/m0047_drop_git_manifest_orphan_jobs.rs:2; crates/scope-postgres/src/migrations/m0048_run_attempt_active_state_indexes.rs:2; crates/scope-postgres/src/migrations/m0049_run_execution_invariants.rs:2,https://crates.io/api/v1/crates/sea-orm-migration
rust,serde,1.0.228,1.0.228,1.0.229,Keep,Shared typed serialization throughout the system. Routine patch update; replacing it would duplicate a central ecosystem contract.,api/Cargo.toml; cache-service/Cargo.toml; cli/Cargo.toml; crates/scope-api-contract/Cargo.toml; crates/scope-cache-contract/Cargo.toml; crates/scope-cache-domain/Cargo.toml; crates/scope-domain/Cargo.toml; crates/scope-media-storage/Cargo.toml; crates/scope-postgres/Cargo.toml; crates/scope-run-config/Cargo.toml; media-service/Cargo.toml; media-worker/Cargo.toml; runner-runtime/Cargo.toml; worker/Cargo.toml,api/src/auth/clerk.rs:13; api/src/git/cache.rs:13; api/src/git/mod.rs:42; api/src/http/admin.rs:15; api/src/http/dispatch_authorization.rs:10; api/src/http/history.rs:26; api/src/http/request_discussions.rs:30; api/src/http/request_queue.rs:26; api/src/http/request_review.rs:41; api/src/http/requests.rs:38; api/src/http/responses.rs:29; api/src/http/responses/projections.rs:15,https://crates.io/api/v1/crates/serde
rust,serde_json,1.0.147,1.0.150,1.0.151,Keep,JSON protocol and persisted data representation. Routine patch update; no custom parser.,api/Cargo.toml; cache-service/Cargo.toml; cli/Cargo.toml; crates/scope-api-contract/Cargo.toml; crates/scope-cache-contract/Cargo.toml; crates/scope-cache-domain/Cargo.toml; crates/scope-domain/Cargo.toml; crates/scope-media-storage/Cargo.toml; crates/scope-postgres/Cargo.toml; crates/scope-product-analytics/Cargo.toml; crates/scope-service-runtime/Cargo.toml; media-worker/Cargo.toml; runner-runtime/Cargo.toml; worker/Cargo.toml,api/src/bin/scope_maintenance.rs:48; api/src/dev/seed/tests.rs:319; api/src/error.rs:313; api/src/git/cache.rs:131; api/src/git/mod.rs:217; api/src/git/request_refs/revision.rs:90; api/src/git/run_source.rs:118; api/src/http/cli_compatibility.rs:102; api/src/http/dispatch_authorization.rs:103; api/src/http/history.rs:258; api/src/http/repo_events.rs:272; api/src/http/repos.rs:340,https://crates.io/api/v1/crates/serde_json
rust,sha1,0.10.6,0.10.6,0.11.0,Keep,Git object identity requires this algorithm today. First take the maintained 0.10.7 patch; consider 0.11 with the crypto family. Do not confuse a library upgrade with changing repository object format.,api/Cargo.toml; crates/scope-domain/Cargo.toml,api/src/git/projection_repo.rs:18; api/src/git/upload/read_view_identity.rs:3; api/src/workflow_tests/git_http_gzip.rs:202; crates/scope-domain/src/content_ref.rs:2,https://crates.io/api/v1/crates/sha1
rust,sha2,0.10.9,0.10.9,0.11.0,Keep,"Content integrity, cache IDs and authenticated derivations. Coordinate 0.11 with hmac/AEAD and golden fixtures. Library upgrades must preserve existing byte-level formats.",api/Cargo.toml; cache-service/Cargo.toml; cli/Cargo.toml; crates/scope-domain/Cargo.toml; crates/scope-git-storage/Cargo.toml; crates/scope-media-storage/Cargo.toml; crates/scope-object-store/Cargo.toml; crates/scope-postgres/Cargo.toml; media-service/Cargo.toml; media-worker/Cargo.toml; repo-router/Cargo.toml; runner-runtime/Cargo.toml; worker/Cargo.toml,api/src/auth/tokens.rs:7; api/src/dev/seed/runs.rs:38; api/src/git/request_refs.rs:22; api/src/git/request_refs/locks.rs:7; api/src/git/request_refs/revision.rs:12; api/src/git/run_source.rs:20; api/src/git/storage.rs:6; api/src/http/dispatch_authorization.rs:11; api/src/http/request_queue.rs:27; api/src/push_intents.rs:9; api/src/workflow_tests/mod.rs:403; cache-service/src/handlers.rs:326,https://crates.io/api/v1/crates/sha2
rust,sqlx,0.8.6,0.8.6,0.9.0,Keep,"Direct use covers session-owned advisory locks, listeners and connection fencing beneath SeaORM. The same 0.8.6 driver is shared; it is not a second unrelated ORM. Update to 0.9 only with SeaORM 2.",crates/scope-postgres/Cargo.toml,crates/scope-postgres/src/db/connection.rs:9; crates/scope-postgres/src/db/content_fences.rs:5; crates/scope-postgres/src/db/git_segments/mod.rs:12; crates/scope-postgres/src/db/locks.rs:105; crates/scope-postgres/src/db/repo_change_notifications.rs:63; crates/scope-postgres/src/db/request_media/tests.rs:775; crates/scope-postgres/src/local_dev_database.rs:3,https://crates.io/api/v1/crates/sqlx
rust,tar,0.4.44,0.4.46,0.4.46,Keep,Cache archive reader/writer with many format and path edge cases. Existing 0.4.46 is current. Retain Scope extraction limits and path rules.,runner-runtime/Cargo.toml,runner-runtime/src/cache/archive.rs:40; runner-runtime/src/cache/freshness_tests.rs:29; runner-runtime/src/cache/restore.rs:207; runner-runtime/src/cache/tests.rs:98; runner-runtime/src/workflow.rs:71,https://crates.io/api/v1/crates/tar
rust,tempfile,3.23.0,3.27.0,3.27.0,Keep,Safe temporary files/directories used around untrusted data and subprocesses. Existing version is current. Avoid hand-rolled cleanup and name generation.,api/Cargo.toml; cli/Cargo.toml; crates/scope-git-process/Cargo.toml; crates/scope-git-storage/Cargo.toml; media-worker/Cargo.toml; runner-runtime/Cargo.toml; worker/Cargo.toml,api/src/git/content.rs:116; api/src/git/projection_repo/tests.rs:434; api/src/git/public_request_commit_tests.rs:34; api/src/git/repository_engine/tests.rs:321; api/src/git/request_refs/revision.rs:261; api/src/git/restore.rs:221; api/src/git/run_source/tests.rs:31; api/src/git/upload/read_view_tests.rs:61; api/src/http/request_review/inspection.rs:424; api/src/http/request_review/tests.rs:215; api/src/smoke_seed.rs:283; api/src/use_cases/request_discussion_mutation/anchor/identity_tests.rs:134,https://crates.io/api/v1/crates/tempfile
rust,thiserror,2.0.18,2.0.18,2.0.20,Keep,Domain and infrastructure error definitions. Routine patch update. Generated boilerplate is preferable to many manual Error/Display implementations.,crates/scope-cache-domain/Cargo.toml; crates/scope-domain/Cargo.toml; crates/scope-git-process/Cargo.toml; crates/scope-git-storage/Cargo.toml; crates/scope-git/Cargo.toml; crates/scope-media-storage/Cargo.toml; crates/scope-postgres/Cargo.toml; crates/scope-run-config/Cargo.toml; crates/scope-service-runtime/Cargo.toml; media-worker/Cargo.toml,crates/scope-cache-domain/src/error.rs:1; crates/scope-domain/src/dependency_analysis.rs:7; crates/scope-domain/src/policy.rs:3; crates/scope-domain/src/repo_config.rs:7; crates/scope-domain/src/repo_control/image.rs:1; crates/scope-domain/src/repository/git.rs:123; crates/scope-domain/src/repository/git_compaction.rs:117; crates/scope-domain/src/repository/mod.rs:234; crates/scope-domain/src/runs/cache/definition.rs:4; crates/scope-domain/src/runs/catalog.rs:11; crates/scope-domain/src/runs/workflow/error.rs:8; crates/scope-git-process/src/runner.rs:75,https://crates.io/api/v1/crates/thiserror
rust,time,0.3.44,0.3.52; 0.3.53,0.3.55,Keep,Parsing/formatting timestamps. Update both locks to 0.3.55. Prefer this existing time owner over introducing new direct chrono usage.,api/Cargo.toml; cli/Cargo.toml; crates/scope-postgres/Cargo.toml,api/src/auth/clerk.rs:16; api/src/dev/mod.rs:61; api/src/dev/seed/git_fixtures.rs:345; api/src/dev/seed/runs.rs:46; api/src/dev/seed/tests.rs:271; api/src/git/blocking.rs:22; api/src/git/cache.rs:23; api/src/git/cache/tests.rs:8; api/src/git/command.rs:10; api/src/git/content.rs:9; api/src/git/http_backend.rs:9; api/src/git/import/artifacts.rs:26,https://crates.io/api/v1/crates/time
rust,tokio,1.48.0,1.52.3,1.53.1,Keep,"Service runtime, process control, I/O and concurrency. Update to 1.53.1 with shutdown/cancellation checks. Reimplementing a runtime is outside Scope business logic.",api/Cargo.toml; cache-service/Cargo.toml; cli/Cargo.toml; crates/scope-git-process/Cargo.toml; crates/scope-git-storage/Cargo.toml; crates/scope-media-storage/Cargo.toml; crates/scope-object-store/Cargo.toml; crates/scope-postgres/Cargo.toml; crates/scope-service-runtime/Cargo.toml; media-service/Cargo.toml; media-worker/Cargo.toml; repo-router/Cargo.toml; worker/Cargo.toml,api/src/auth/clerk.rs:18; api/src/bin/scope_maintenance.rs:28; api/src/bin/scope_smoke_seed.rs:1; api/src/dev/mod.rs:81; api/src/dev/seed/git_segments.rs:44; api/src/dev/seed/request_discussions.rs:306; api/src/dev/seed/runs.rs:157; api/src/dev/seed/tests.rs:37; api/src/error.rs:323; api/src/git/blocking.rs:8; api/src/git/cache/coordinator.rs:9; api/src/git/content.rs:19,https://crates.io/api/v1/crates/tokio
rust,tokio-stream,0.1.17,0.1.18,0.1.19,Keep,"SSE and stream wrappers over Tokio channels/readers. Routine patch update. Removing it would duplicate small, already shared adapters.",api/Cargo.toml; crates/scope-media-storage/Cargo.toml; media-service/Cargo.toml; repo-router/Cargo.toml,api/src/git/upload.rs:398; api/src/http/repo_events.rs:21; api/src/http/run_events.rs:22; api/src/workflow_tests/repo_events.rs:6; api/src/workflow_tests/request_attachments.rs:307; api/src/workflow_tests/request_discussions.rs:2; crates/scope-media-storage/src/storage.rs:13; crates/scope-media-storage/tests/recovery.rs:8; crates/scope-media-storage/tests/storage.rs:14; media-service/src/handlers.rs:38; repo-router/src/replay.rs:64,https://crates.io/api/v1/crates/tokio-stream
rust,tower,0.5.3,0.5.3,0.5.3,Keep,Service utilities for route tests and framework behavior. Direct declarations are development-only. Remains an Axum dependency.,api/Cargo.toml; cache-service/Cargo.toml; media-service/Cargo.toml; repo-router/Cargo.toml,api/src/dev/seed/tests.rs:287; api/src/http/cli_compatibility.rs:65; api/src/maintenance_http.rs:58; api/src/workflow_tests/http_surface.rs:14; api/src/workflow_tests/mod.rs:52; cache-service/src/handlers.rs:328; repo-router/src/app.rs:94; repo-router/src/proxy.rs:256,https://crates.io/api/v1/crates/tower
rust,tower-http,0.6.8,0.6.11,0.7.1,Keep,CORS and tracing middleware. Stay on patched 0.6 until 0.7 compatibility is tested; do not rewrite HTTP policy middleware to save a transitive dependency.,api/Cargo.toml; cache-service/Cargo.toml; media-service/Cargo.toml,api/src/app.rs:13; api/src/main.rs:13; cache-service/src/lib.rs:20; cache-service/src/main.rs:6; media-service/src/lib.rs:31,https://crates.io/api/v1/crates/tower-http
